wafer_id,x,y,hbin,sbin,test_000,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019
W01,-2,-11,1,1,51.0359,71.5,56.882,64.7192,72.5778,72.5687,82.7286,82.5314,88.0057,101.3912,48.8043,59.1012,62.0555,66.0557,69.1611,73.894,81.4291,84.0619,86.7508,104.6223
W01,-1,-11,1,1,51.5939,60.8176,77.0,67.1748,88.0,78.6386,99.0,85.7655,87.23,94.1887,51.3623,71.5,62.2902,61.5806,72.0506,93.5,79.9739,104.5,92.6392,94.214
W01,0,-11,1,1,50.2921,57.4952,55.7183,82.5,68.7793,77.7794,78.1927,82.3062,92.0706,89.3344,48.7103,54.2851,62.5331,65.1176,68.6181,74.3385,76.2694,87.1652,86.5859,94.9835
W01,1,-11,1,1,46.8296,60.5596,61.855,82.5,88.0,69.7779,83.865,104.5,88.4627,93.4478,53.7291,58.2733,63.2565,68.444,69.1558,74.2917,85.5202,82.748,91.5944,87.2119
W01,2,-11,2,2,46.272,50.1074,60.5315,63.562,88.0,77.3091,79.4118,83.7056,90.0273,93.5916,47.672,71.5,61.7677,65.4724,67.0971,71.1802,78.0704,84.8416,88.6641,97.9504
W01,3,-11,1,1,60.1749,59.2255,77.0,61.1923,63.9406,76.0063,80.7039,88.8665,87.4639,94.5797,48.0989,54.3105,64.9031,73.1027,71.7243,75.1889,78.0999,80.346,88.4575,93.3076
W01,4,-11,2,2,46.7793,58.8699,60.1639,69.534,67.7193,76.289,99.0,86.3457,96.9157,95.4095,52.3969,56.7868,59.3961,66.4273,68.8893,93.5,81.1407,83.4544,92.139,96.0276
W01,5,-11,1,1,50.6701,52.4108,61.8028,66.9773,88.0,75.2839,81.0503,81.1628,88.2759,91.3703,48.2421,54.5287,60.3892,65.978,71.1568,74.5057,99.0,80.4223,88.5783,98.404
W01,6,-11,1,1,51.6304,58.1065,77.0,61.2568,72.574,74.9003,82.1494,82.3048,89.2315,95.9415,51.6123,55.4281,59.4028,82.5,65.3537,77.2608,79.9232,86.2878,87.9559,92.3288
W01,-7,-10,3,3,46.8588,51.4916,61.4059,63.6776,68.5557,78.9773,81.5588,84.751,110.0,103.2808,54.1763,48.7932,59.3115,65.609,69.6923,74.1107,75.3069,84.5081,84.133,96.6587
W01,-6,-10,1,1,43.997,52.2895,60.6049,67.3959,73.661,80.2265,75.7417,104.5,90.5751,89.1265,51.4345,56.0103,58.7735,65.3004,71.7851,93.5,74.7426,86.8615,88.5265,93.0246
W01,-5,-10,1,1,49.7136,71.5,60.2399,82.5,66.7377,66.8535,82.063,84.25,87.1118,95.3879,47.5059,53.7116,55.6523,64.0722,70.7405,72.8372,99.0,87.6055,91.6509,115.5
W01,-4,-10,2,2,52.6594,55.7345,55.6121,56.8538,69.0076,93.5,87.1212,104.5,87.1057,97.046,48.48,55.186,56.6721,63.6649,72.2475,74.9589,99.0,104.5,91.1751,100.4473
W01,-3,-10,2,2,48.9522,60.1816,62.922,60.7989,69.9854,75.7504,78.4753,84.1592,88.4242,91.6827,45.8121,57.2348,58.7456,60.3965,88.0,73.6905,78.4225,85.6219,110.0,95.8674
W01,-2,-10,1,1,52.2316,56.7604,59.4509,62.4116,74.743,74.8375,82.3889,85.199,89.1051,97.5516,50.8197,57.8936,61.6259,57.8395,72.8646,76.1498,74.5495,86.4942,91.7981,93.9578
W01,-1,-10,1,1,55.5594,55.8523,61.0423,62.0578,70.6325,76.7347,80.2029,85.8863,87.7995,90.2694,51.4023,56.0732,63.1605,70.6548,71.4926,75.2596,78.8891,87.2694,87.7706,93.8924
W01,0,-10,1,1,51.2586,52.1131,67.3124,63.5437,69.302,72.6704,78.1308,85.7719,88.8286,100.464,52.1693,49.9587,61.6951,66.5491,66.3157,79.1974,81.8467,90.0393,85.021,88.7845
W01,1,-10,1,1,45.6012,52.2332,62.2243,58.9326,68.8901,71.8527,81.0535,86.1916,91.4966,91.5436,49.6614,55.3262,56.4748,69.1087,66.4325,76.328,80.908,84.4121,85.2516,94.5072
W01,2,-10,1,1,53.8446,53.8641,58.3561,73.3187,68.6558,79.6878,81.414,83.0037,89.2072,91.0456,46.4078,52.5403,58.3841,66.555,71.6399,74.1512,76.7914,88.6936,92.3491,95.2537
W01,3,-10,1,1,50.5169,71.5,59.2607,62.1965,72.4575,93.5,99.0,82.2806,91.0126,95.342,50.5119,71.5,58.2915,65.5961,74.532,93.5,99.0,87.0827,97.4654,115.5
W01,4,-10,1,1,52.0862,49.8319,54.2495,66.7846,88.0,72.3737,83.7784,104.5,110.0,95.3383,52.0017,60.8654,58.3836,82.5,73.4767,77.7131,79.6127,78.7993,83.1187,95.4088
W01,5,-10,1,1,46.6145,53.6063,64.4698,82.5,67.1302,79.6556,99.0,86.1479,110.0,115.5,48.1306,53.6176,59.6316,66.6269,71.0335,74.3384,76.7946,83.1077,91.9749,92.81
W01,6,-10,1,1,49.5216,53.4661,77.0,82.5,75.5581,75.3769,78.447,80.5287,94.906,99.324,48.9849,53.4905,77.0,67.5493,67.4575,80.4729,80.9066,85.7719,89.4372,91.8488
W01,7,-10,1,1,51.3184,56.7878,62.1405,68.4164,70.9715,71.2183,80.613,87.3371,90.9731,96.2286,46.3715,52.8633,77.0,60.2588,67.1949,77.4586,76.9327,83.4355,110.0,95.3513
W01,-8,-9,1,1,55.186,61.0551,77.0,60.2827,65.1328,70.9704,81.6053,81.4427,92.2078,96.407,51.9806,55.4468,63.087,69.2325,71.6821,80.0953,81.3857,88.1058,93.8453,88.6681
W01,-7,-9,1,1,45.7208,57.5983,77.0,68.1607,67.1699,72.6118,81.0279,83.0465,90.6601,92.5626,66.0,57.7028,59.3112,66.2792,72.7542,71.4441,81.1015,86.3277,90.7097,95.832
W01,-6,-9,1,1,47.1538,56.018,62.4306,66.4469,69.5289,74.8795,77.7617,86.0292,87.7105,93.2866,42.6926,71.5,57.5078,64.4912,67.6729,93.5,99.0,89.9066,90.255,102.3832
W01,-5,-9,1,1,47.962,54.1673,63.1622,60.6337,68.1336,73.6356,78.3875,82.3903,90.8892,91.5655,49.9981,71.5,61.7911,66.5242,65.7887,71.7488,83.2998,104.5,86.0177,94.5746
W01,-4,-9,1,1,49.8911,54.2525,62.8746,62.8109,72.9445,77.4351,79.3227,82.5476,94.2419,100.3442,47.2984,53.3475,58.861,66.6902,72.3969,71.225,78.9123,82.0664,87.8531,89.6102
W01,-3,-9,1,1,43.0374,47.0716,59.2225,62.3122,67.5683,73.3925,80.6354,86.5472,80.5529,96.6593,49.4185,52.1081,61.6339,64.6259,73.397,74.6073,79.3591,86.4723,93.5267,92.4706
W01,-2,-9,2,2,53.6082,53.3482,64.1007,68.1995,68.4652,80.1468,82.2914,86.0703,91.3168,95.9921,49.635,52.3512,60.8413,64.3837,75.5172,76.5136,84.6474,83.6913,88.3855,93.2879
W01,-1,-9,1,1,53.4189,53.7014,57.5784,69.0421,70.8192,73.9225,84.5753,82.4194,93.8681,91.7484,52.7588,58.0931,56.2922,63.9064,69.8014,75.558,80.3989,87.465,91.202,100.6689
W01,0,-9,1,1,47.4345,56.1153,59.1269,56.1459,72.1217,76.2504,79.5261,83.7415,95.3765,96.7941,54.6899,50.341,61.4337,71.2769,73.969,76.7009,77.4597,83.6039,85.7953,96.6796
W01,1,-9,1,1,52.7169,55.1183,63.2475,65.4366,73.2885,75.3239,80.3072,87.3267,95.1098,93.9063,48.8453,54.1332,58.5018,63.6877,71.0093,71.9418,75.7634,85.8153,87.6788,92.826
W01,2,-9,1,1,57.6249,55.715,59.6238,69.6424,68.0829,76.7543,82.3358,84.0538,89.0651,99.6278,49.5696,53.4707,63.5439,71.8313,74.6244,70.9841,83.3806,86.6231,89.9433,97.7956
W01,3,-9,1,1,53.1024,58.0109,56.4094,66.5645,67.6782,77.9747,81.2051,86.4609,90.6094,94.1262,45.0468,57.0748,61.0419,62.1025,72.1827,73.3682,75.7246,84.0285,90.5463,95.781
W01,4,-9,1,1,45.727,54.2791,53.2264,63.3085,68.8753,75.7691,77.2166,84.8479,89.9786,97.4779,47.6213,50.2185,59.367,67.0648,71.7359,71.8638,85.6633,88.1243,91.9171,95.6909
W01,5,-9,1,1,50.0749,52.3994,59.2727,63.2649,72.2256,72.6247,81.6319,82.865,86.9804,94.2639,52.771,62.7836,77.0,64.2968,72.3232,75.7713,84.9008,82.8583,87.2955,95.7835
W01,6,-9,3,3,48.8866,55.0894,60.8143,63.7975,68.4809,80.3557,99.0,85.7497,91.1248,115.5,51.7945,57.1243,63.6876,82.5,71.6996,72.8804,76.6878,88.4801,85.2535,98.5068
W01,7,-9,1,1,45.0626,53.3287,60.4139,63.5759,71.7918,76.7925,82.6201,88.4142,85.6533,115.5,49.4973,53.8336,58.6109,67.0964,69.569,76.0803,82.7133,84.2135,89.6414,95.7352
W01,8,-9,1,1,50.4665,53.0363,62.2007,69.2707,73.1397,78.1973,79.0722,85.0819,82.795,95.7935,66.0,51.3185,77.0,67.0531,69.0486,68.0625,76.0465,84.5161,93.7471,115.5
W01,-9,-8,2,2,66.0,55.7728,77.0,62.463,67.4734,79.4471,82.7923,82.9959,91.6678,91.0613,50.3068,56.6781,59.0098,67.6087,66.7242,69.9278,82.3581,83.8412,90.0942,93.0796
W01,-8,-8,1,1,44.4501,56.5021,63.4786,65.535,72.048,74.3698,79.4957,82.6858,91.0953,91.1171,49.1664,48.3645,77.0,82.5,69.8766,79.9217,77.758,104.5,94.1885,98.9187
W01,-7,-8,1,1,54.2012,58.9593,58.232,58.2686,68.0597,79.5907,80.4859,81.0631,110.0,115.5,48.2563,55.563,60.9385,63.9709,67.4754,74.0981,78.1267,85.0035,91.2654,95.2377
W01,-6,-8,1,1,55.6431,50.0571,62.3085,71.0893,70.3114,73.4189,84.4766,78.7391,91.0346,94.8149,51.2099,54.1504,64.5524,64.3904,67.4139,76.0817,80.5834,84.8969,93.8631,98.6052
W01,-5,-8,3,3,52.0091,53.1198,61.3409,58.8301,65.1315,74.2379,77.0986,87.9235,90.6244,96.7092,52.9327,57.1131,60.7903,57.0384,68.7223,76.2492,79.6613,91.2039,92.7434,92.9454
W01,-4,-8,1,1,49.1812,53.5014,69.2929,65.2046,70.3062,74.5209,79.5374,84.2232,87.4107,98.3062,49.4052,58.4904,60.5462,66.2058,66.0174,74.0075,80.5535,86.5025,89.443,96.7027
W01,-3,-8,1,1,49.2846,55.1354,58.8159,69.092,70.8264,73.7777,77.5301,89.3228,90.2531,96.191,48.006,54.0752,59.0939,68.3962,67.6233,71.6349,84.172,88.5811,91.5254,99.0074
W01,-2,-8,1,1,50.4633,51.5888,54.9747,64.3887,69.2695,81.9544,80.7173,80.362,88.4283,90.8644,53.2672,51.8236,59.1738,66.9805,68.0551,74.9292,77.3557,84.8737,91.3262,93.0708
W01,-1,-8,1,1,46.9144,53.459,59.9404,67.7886,69.916,75.6014,76.3476,85.9637,89.9862,100.2422,51.5954,51.9679,57.1416,67.5177,67.9222,72.7245,82.9705,85.8396,89.4817,93.3702
W01,0,-8,1,1,54.396,60.416,59.4861,62.3164,66.8271,74.5495,80.6022,85.4734,90.0923,94.7561,50.8426,50.8746,55.2048,65.9209,71.0937,76.9268,79.2927,84.4295,94.6039,101.3611
W01,1,-8,1,1,53.2887,55.7908,64.5075,70.1005,69.9791,74.5027,82.2214,86.8682,91.2039,97.291,53.3298,54.9766,62.4167,62.4756,63.05,78.5704,84.3121,80.3217,87.9313,90.7019
W01,2,-8,2,2,56.4824,52.9653,59.5401,60.9892,69.7575,78.0859,79.8287,82.0105,91.9813,91.9334,44.1454,56.3776,60.2876,66.9725,66.2946,72.0244,76.8934,85.1359,95.6743,90.7473
W01,3,-8,1,1,52.0152,56.1216,61.7224,71.3601,72.3006,71.6288,83.4584,81.864,93.6359,100.9372,52.2053,55.4749,59.2786,67.8929,67.4311,78.9634,78.7791,88.6882,90.9675,101.5114
W01,4,-8,1,1,53.3302,50.8685,58.662,64.2262,65.2842,73.0696,85.4551,80.0493,87.633,96.3339,57.6582,56.774,58.9789,64.5711,65.4605,79.2706,81.3038,83.4359,91.2501,94.4151
W01,5,-8,1,1,48.3861,52.632,52.0257,67.1028,72.7899,74.977,77.673,81.9975,89.0666,98.2022,50.0895,48.982,59.8658,67.0276,69.4867,76.5061,77.6563,86.287,84.6509,94.6562
W01,6,-8,2,2,51.214,56.1433,58.2377,67.8507,68.5829,77.2768,80.7959,82.5384,95.274,93.7889,50.3382,47.6159,63.3127,64.9951,68.8108,73.4558,81.8429,85.8202,92.7044,95.9954
W01,7,-8,1,1,49.4102,71.5,56.4662,82.5,71.2024,71.9468,99.0,85.3047,90.6414,98.3086,49.1811,53.4493,58.0738,67.2941,70.914,71.1067,86.4064,86.8719,90.5488,93.2118
W01,8,-8,1,1,51.641,51.496,77.0,62.6604,88.0,72.8748,77.2575,82.0903,87.8157,91.2406,51.6916,55.4514,60.2347,82.5,74.0286,71.2468,75.3984,90.5798,86.7233,96.3282
W01,9,-8,1,1,50.532,49.73,64.2137,59.0884,68.7422,77.6922,78.1147,83.6381,110.0,93.751,48.2141,58.0881,59.8769,66.5836,73.0443,75.3537,82.0541,84.772,89.7415,91.243
W01,-10,-7,2,2,44.286,57.0319,77.0,67.5654,70.5496,76.0601,78.5378,104.5,91.7785,92.8139,47.1744,56.9943,57.8563,64.7003,71.2085,74.0256,84.6468,86.6289,88.1183,94.0986
W01,-9,-7,1,1,66.0,53.0833,77.0,67.8695,75.9882,72.26,82.338,82.8725,89.8022,98.6423,46.7067,56.6687,55.5261,67.5843,67.316,77.9928,81.3007,85.5642,90.9927,98.5825
W01,-8,-7,2,2,66.0,54.7159,59.7145,82.5,72.8341,73.6341,78.0155,84.2952,92.8474,95.9012,47.5861,49.8939,62.6892,59.5409,68.3468,75.1451,77.0301,85.4353,110.0,95.63
W01,-7,-7,1,1,44.3517,52.7472,59.7242,65.6912,67.9319,79.2764,84.2539,89.656,85.7831,91.541,49.0903,54.9687,55.7187,62.5438,70.9306,71.4876,80.4876,80.9758,91.2386,96.7961
W01,-6,-7,2,2,45.1929,58.3458,64.3409,67.9343,67.3903,81.1828,79.0493,87.4812,90.6527,92.3157,48.5897,53.9907,57.6478,58.9519,75.0927,73.1881,82.1824,84.6752,92.2807,91.9184
W01,-5,-7,1,1,48.1442,57.1227,60.3831,67.9439,72.0583,73.8694,81.7208,86.1063,92.8324,93.5882,52.5095,52.8347,57.5957,58.3337,69.498,76.3789,79.8324,83.6906,92.496,98.1054
W01,-4,-7,1,1,47.5937,57.4937,60.5298,65.7086,64.3445,75.8318,83.9539,84.8561,86.069,89.6065,55.3665,53.6421,62.8619,69.1672,73.7934,69.6607,79.3443,88.0266,87.1899,95.7675
W01,-3,-7,2,2,51.1042,52.4071,59.2476,60.5362,69.5067,77.1981,79.4246,83.9782,92.3862,92.0388,54.1572,56.0991,55.4921,66.9982,77.3472,72.1512,79.0163,85.9711,92.5559,95.9421
W01,-2,-7,2,2,51.1716,53.4042,61.4642,60.558,68.5691,76.6801,73.0875,82.594,87.2995,94.3123,47.632,50.029,54.3778,60.7064,72.3278,68.6644,77.4579,81.4372,89.8763,93.1768
W01,-1,-7,1,1,48.2894,57.9553,59.2936,71.2292,72.9232,75.792,77.7474,84.9158,90.206,96.2488,52.2724,55.2682,54.1104,69.0961,69.71,80.1199,73.7492,78.5349,88.8874,99.2682
W01,0,-7,2,2,52.276,53.1825,63.1974,62.2143,71.672,79.5705,74.6953,80.643,87.2327,97.6591,51.5397,60.8634,61.1485,60.538,75.5909,73.2977,82.6518,84.8686,89.431,93.3475
W01,1,-7,1,1,44.6565,51.3466,63.3687,64.0076,63.6827,77.2757,74.7398,85.0162,90.1001,93.5387,48.7247,59.422,59.1897,71.8153,71.1598,67.2764,82.7533,76.7059,92.5928,93.252
W01,2,-7,1,1,47.5055,54.2308,65.3281,72.6175,70.2263,73.1392,82.9048,86.8391,95.9954,94.6635,48.9031,58.0889,55.3044,66.4351,71.2965,70.8559,79.018,84.2036,91.3617,100.1524
W01,3,-7,1,1,55.1992,58.9905,61.3203,63.5455,68.7281,75.6696,77.4054,80.9474,87.0985,98.342,51.503,52.7876,52.591,65.9615,68.7756,73.2004,77.8396,85.0957,90.9419,95.6248
W01,4,-7,1,1,52.7702,53.924,60.0414,63.4122,71.4974,71.6688,83.2829,87.6408,85.7215,94.1216,45.7033,52.8348,59.3769,61.2611,71.4947,73.5732,75.982,92.3498,88.5579,92.9704
W01,5,-7,1,1,48.6053,54.9967,61.0596,66.5753,74.6224,71.3192,80.8891,78.5884,91.8999,88.4285,53.4456,53.6417,60.7407,70.4528,70.0676,74.477,82.4237,86.8172,88.1862,90.4287
W01,6,-7,1,1,47.0936,55.8029,68.4743,68.9592,69.8056,81.6342,82.593,81.9226,86.9577,97.5241,45.9864,56.1897,60.561,64.0728,74.0345,71.476,81.2035,84.3107,87.3674,99.5265
W01,7,-7,1,1,48.3054,58.5636,56.9135,65.5619,67.3874,75.3142,77.0365,81.8841,91.344,92.4611,46.441,47.3727,62.5451,68.6203,69.722,74.317,74.3684,87.9033,91.9342,93.9036
W01,8,-7,1,1,48.5705,49.3676,77.0,67.8854,66.0331,69.5849,99.0,81.2908,85.4221,99.6852,51.6213,71.5,65.396,66.7692,65.587,75.4106,79.6146,81.6464,91.1333,91.7972
W01,9,-7,1,1,51.5415,55.69,65.4115,60.498,70.6997,76.7992,99.0,84.6152,110.0,89.7343,52.8244,55.636,58.2741,61.0147,69.6311,73.687,82.4402,83.9588,93.5239,102.9249
W01,10,-7,1,1,66.0,53.6887,61.0539,57.0545,71.3566,75.1708,80.9389,88.2706,87.5284,91.5808,51.8032,71.5,57.5981,60.6802,67.3921,93.5,80.5147,90.68,97.1642,87.7984
W01,-11,-6,1,1,49.1216,55.0175,77.0,67.6166,88.0,72.9177,80.8139,83.6474,92.5413,94.3595,44.5948,55.375,59.7128,61.7655,67.6202,75.4605,79.227,87.6371,86.9615,95.2454
W01,-10,-6,1,1,66.0,71.5,61.4989,64.3226,65.9042,72.9966,74.8065,83.6941,87.958,97.6839,66.0,52.7961,77.0,82.5,68.7247,71.9938,84.1761,83.0179,91.6896,95.4868
W01,-9,-6,1,1,49.6608,56.9382,58.0582,66.568,74.5968,73.6804,83.6846,85.9153,92.237,90.4081,48.0703,47.1672,55.3047,82.5,65.3521,79.0882,84.6301,87.38,94.9013,93.7523
W01,-8,-6,1,1,48.0859,54.0963,59.3753,69.8928,67.0076,77.6581,77.6005,86.6949,90.3706,88.9673,47.2371,56.8354,55.3616,68.0819,69.3356,72.3622,86.8821,87.4854,87.7849,99.5815
W01,-7,-6,3,3,51.5331,58.0428,63.6497,65.7597,72.3725,78.8778,82.335,85.7167,96.117,96.4067,50.9231,60.6547,62.7423,64.4086,70.6784,78.1561,82.835,83.3824,89.2324,92.6369
W01,-6,-6,3,3,53.0352,56.5821,66.6504,59.8692,71.3869,76.9603,81.9367,80.1006,84.8045,93.2942,51.5554,52.5154,56.7066,61.161,70.9222,74.9319,77.3452,84.6774,94.414,95.2581
W01,-5,-6,3,3,47.8109,55.2165,62.5234,59.8075,66.8233,71.1814,84.4852,82.0203,87.9505,97.8637,54.9749,56.4805,62.0432,66.32,69.9201,74.7863,81.5404,86.4695,87.0841,99.3849
W01,-4,-6,1,1,51.3582,51.4783,62.702,72.8141,71.3144,78.5354,83.1746,85.2936,88.5108,96.1386,51.5195,49.2093,59.6549,67.0963,74.4297,70.3098,75.8703,83.1272,85.2084,98.6309
W01,-3,-6,1,1,48.88,55.1819,58.2834,68.7245,71.8529,69.4163,75.1027,87.1829,90.1923,97.9817,47.2806,51.1551,58.7916,59.3542,68.4072,73.8225,81.3688,84.157,91.3672,94.4262
W01,-2,-6,1,1,53.8946,51.6293,57.7132,63.7557,71.1696,70.964,81.1038,85.652,91.5859,89.4808,43.6206,53.9215,59.238,66.4055,70.6415,73.1358,79.2756,83.2598,90.6761,96.2953
W01,-1,-6,2,2,50.3062,55.1499,55.01,62.3775,73.897,86.2281,84.1743,84.4163,88.8581,96.9609,45.3601,55.8368,53.9519,66.7401,76.2556,82.3107,82.3057,84.9504,86.4199,89.8851
W01,0,-6,1,1,53.9366,63.2279,58.0006,64.4223,72.6835,77.8948,83.6306,84.3765,90.1336,92.4915,51.6165,55.8567,56.8031,65.7915,73.7574,76.8484,82.4373,86.0472,88.1369,95.4017
W01,1,-6,2,2,51.965,51.2298,62.7449,61.1419,72.9988,76.9014,79.3695,86.8366,95.0827,93.8379,51.9802,50.0331,61.1126,64.8022,71.0928,72.6942,78.3445,84.6599,88.6693,99.3831
W01,2,-6,1,1,50.4685,52.0967,64.3157,68.7199,66.3235,78.8918,79.5206,86.0889,92.6415,94.7596,49.7761,53.2191,62.3852,62.675,66.5421,77.0648,78.539,81.0646,87.4259,93.3255
W01,3,-6,1,1,50.1827,53.8775,64.0859,65.6954,65.8013,75.7703,82.2323,80.0198,93.877,98.3281,49.8542,49.1572,61.0745,65.6554,65.4014,78.4132,80.1494,83.501,89.7648,93.2031
W01,4,-6,1,1,47.7484,56.2637,61.2417,65.8346,68.3038,72.9586,78.7392,84.7822,88.6972,93.0423,53.3877,59.4794,67.0527,67.3587,73.6698,74.3169,78.2424,81.7078,90.9229,91.8984
W01,5,-6,2,2,49.8132,52.9233,55.2312,65.1942,69.4091,76.5517,78.4275,80.6805,94.6332,94.8247,52.3109,52.0291,61.8954,69.4021,68.2995,73.7514,79.0872,87.3123,89.0705,91.5099
W01,6,-6,1,1,49.4431,52.8221,58.8391,66.3825,73.0755,77.8892,80.7141,89.4899,92.0011,99.7647,45.8504,52.7655,57.7158,63.9369,68.0214,75.9545,80.2855,86.2533,89.604,95.2778
W01,7,-6,3,3,52.3627,51.7949,56.1065,68.543,70.7602,76.2625,75.4356,86.1791,89.2069,97.5801,49.4228,55.2972,65.0771,67.6468,65.1942,76.8887,76.045,83.3755,92.5063,94.751
W01,8,-6,1,1,47.5884,52.9368,64.6454,64.8607,70.8229,76.704,81.7289,86.2351,91.4862,94.6249,48.4189,56.1738,61.3331,62.5781,72.6369,75.2557,73.3764,81.1683,89.3874,93.2702
W01,9,-6,1,1,66.0,51.664,62.1788,66.5981,75.1688,84.673,82.8753,88.47,87.3992,91.9359,50.4114,58.4887,65.0122,63.6341,69.6998,75.8528,99.0,83.4177,89.9718,115.5
W01,10,-6,1,1,51.227,58.1257,56.5169,67.8358,71.2665,72.4354,84.0307,83.544,88.8159,92.0184,51.2567,56.9816,61.4726,70.0536,88.0,93.5,80.4874,79.6913,88.0156,96.8564
W01,11,-6,2,2,47.6303,58.2808,77.0,65.8862,73.087,70.4279,99.0,86.9707,87.6159,94.4756,66.0,71.5,60.1573,68.0036,71.0943,77.3824,82.2047,84.7912,91.4905,96.0952
W01,-11,-5,1,1,47.5924,54.7475,77.0,58.0864,70.2294,76.3837,80.0306,87.8597,90.6315,96.7245,51.7779,54.8821,55.644,82.5,75.3146,78.9741,78.6613,79.6302,90.6294,95.0041
W01,-10,-5,1,1,48.1203,55.2133,57.521,82.5,66.6133,71.3511,99.0,89.1849,91.0006,98.6786,53.4623,56.3986,63.6168,66.4719,70.3018,78.2745,82.0893,81.5581,85.9322,95.4451
W01,-9,-5,1,1,47.8929,71.5,62.3207,82.5,73.4694,77.3393,75.9635,85.7103,90.3371,115.5,48.067,54.2026,72.3926,67.0057,68.1266,70.9749,83.6727,85.0456,89.7449,115.5
W01,-8,-5,1,1,49.3435,54.1845,65.3867,65.357,68.7409,76.9602,80.8831,85.3812,92.0778,92.871,52.2092,50.9111,58.1275,64.1304,74.405,71.5859,81.7681,85.1771,88.4669,94.9391
W01,-7,-5,1,1,46.0813,51.6567,61.3133,65.0517,73.4192,72.6015,79.433,83.049,93.9416,96.6874,48.7853,54.2336,60.92,60.7638,65.2331,73.5714,78.0505,81.4172,94.5993,93.7237
W01,-6,-5,1,1,53.9326,54.2875,55.9777,67.3135,71.1738,73.1575,81.8884,90.0604,91.9567,96.627,48.3981,51.4146,58.1526,64.6556,63.8145,76.3088,82.0216,85.7588,92.9275,94.0933
W01,-5,-5,1,1,47.5985,59.4494,54.5247,72.4111,74.1088,78.7346,81.3886,82.7586,89.738,96.2656,47.7495,53.2013,63.1837,63.2334,67.3697,71.8626,80.6703,95.0694,88.1791,95.2322
W01,-4,-5,1,1,55.7087,53.0856,61.1539,71.1783,72.4124,75.7286,85.7845,86.4201,89.51,97.5041,54.9377,55.8824,59.1918,67.0488,67.2415,71.0468,78.7125,89.6286,90.3546,95.1696
W01,-3,-5,1,1,50.3625,54.0874,52.7886,67.5405,69.451,73.1251,80.5309,85.0705,91.651,96.7912,45.3004,57.3286,57.9434,58.5621,70.0553,76.8919,89.7217,89.685,89.4237,98.1604
W01,-2,-5,1,1,47.5165,53.3901,55.8552,66.692,71.2743,73.0145,84.4112,84.6322,86.2801,97.4315,52.1238,57.2391,62.1486,67.8938,77.8551,77.2321,81.4934,84.6501,89.9607,95.305
W01,-1,-5,2,2,50.7351,58.3542,58.2394,61.9545,74.0581,76.2395,84.1162,88.7503,100.3187,96.8081,49.5989,55.6255,57.12,62.6933,69.7411,73.1837,78.6282,86.1531,87.8287,96.4325
